Date,Total Overall Tested,Total Number of DC Residents Tested,Total Positives,Number of Deaths,Cleared From Isolation\
20-May,41756,NA,7788,412,1061\
21-May,42993,NA,7893,418,1069\
22-May,38928,32735,7966,427,1075\
23-May,"40,003","33,576",8110,432,1080\
24-May,40803,34194,8225,440,1080\
25-May,42055,35262,8334,440,1080\
26-May,42697,35682,8406,445,1082\
27-May,43514,36284,8492,453,1082\
28-May,43858,36511,8538,460,1089\
29-May,45629,37881,8717,462,1100\
30-May,46483,38413,8801,466,1116\
31-May,47263,38975,8857,468,1126\
1-Jun,47701,39251,8886,470,1137\
2-Jun,49562,40751,9016,473,1138\
3-Jun,51096,41571,9120,475,1138\
4-Jun,51861,41800,9199,479,1138\
5-Jun,53678,43528,9269,483,1138\
6-Jun,54547,44485,9332,489,1143\
7-Jun,55766,45362,9389,491,1143\
8-Jun,57152,46413,9474,495,1143\
9-Jun,58192,47148,9537,499,1143\
10-Jun,59288,47796,9589,502,1143\
11-Jun,61953,48702,9654,506,1143\
12-Jun,63036,50032,9709,511,1143\
13-Jun,64530,51360,9767,515,1150\
14-Jun,65846,52448,9799,515,1150\
15-Jun,67126,53458,9818,520,1155\
16-Jun,70086,56073,9847,523,1155\
17-Jun,72199,57867,9903,527,1155\
18-Jun,73791,59072,9952,530,1162\
19-Jun,77953,60752,9984,531,1166\
20-Jun,79522,62087,10020,533,1172\
21-Jun,82004,64071,10058,535,1182\
22-Jun,82302,65073,10094,537,1182\
23-Jun,84173,65726,10128,541,1182\
24-Jun,86731,67594,10159,543,1182\
25-Jun,88123,68668,10185,546,1186\
26-Jun,89271,69699,10216,548,1194\
27-Jun,93132,72783,10248,550,1199\
28-Jun,95360,74575,10292,551,1200\
29-Jun,97295,76112,10327,551,1270}
